"";"*anneedediff_1995";"*anneedediff_1996";"*anneedediff_1997";"*anneedediff_1998";"*anneedediff_1999";"*anneedediff_2000";"*anneedediff_2001";"*anneedediff_2002";"*anneedediff_2004";"*anneedediff_2005";"*anneedediff_2006";"*anneedediff_2007";"*anneedediff_2008";"*anneedediff_2009";"*anneedediff_2010";"*anneedediff_2011";"*anneedediff_2012";"*anneedediff_2013";"*anneedediff_2014";"*anneedediff_2015";"*anneedediff_2016";"*anneedediff_2017";"*anneedediff_2018";"*anneedediff_2019";"*anneedediff_2020";"*anneedediff_2021";"*anneedediff_2022";"*anneedediff_2023"
"millénaire";0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;2;40;0;0;0;0;0;2;0;0;0;0;0
"bientôt";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;4;0;0;0;2;0;2;0;0
"ailleurs";0;0;0;0;0;0;0;0;0;2;0;0;0;0;1;1;2;0;0;0;0;1;0;2;2;2;2;3
"meilleur";0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1;0;0;1;1;0;6;1;0;1;1;1
"un";1;0;7;7;13;6;6;7;4;32;9;61;40;11;83;35;233;24;37;42;35;55;76;36;25;100;126;91
"tard";1;0;0;0;0;0;1;0;0;0;0;5;0;0;0;0;0;0;4;0;0;0;0;1;0;0;0;0
"menace";0;0;0;0;0;0;0;0;0;0;0;1;0;0;2;0;0;0;0;0;1;1;0;1;3;2;2;0
"coda";0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;15;0;0;0;0;0;0;0;0;0;0;0;0
"tirailleur";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10
"astronaute";0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;1;4;2;0;0;4;0;6;0;0;3;4;15
"pouvoir";0;1;1;1;2;0;1;0;2;2;1;2;5;1;6;3;9;13;13;5;8;2;43;7;4;65;54;33
"découverte";0;0;0;0;0;0;1;0;0;0;0;5;0;3;2;0;1;2;0;0;0;0;0;3;0;3;8;6
"millier";0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3;0;0;0;1;0;0;0;5;2;3
"continuer";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;3;0;2;0;0;2;7;1
"garder";0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;1;0;1;0;0;1;1;0;0;0;0;0;2
"apparence";0;0;0;0;0;0;0;0;0;0;0;0;1;0;3;0;0;0;0;3;0;1;0;2;1;0;0;0
